nominal_sections,A1_2,A1_3,A2_2,A2_3,B1_2,B1_3,B2_2,B2_3,C_2,C_3,D_2,D_3
0.5,10.0,9.0,10.0,9.0,12.0,10.0,11.0,10.0,12.0,11.0,14.0,12.0
0.75,12.0,11.0,12.0,11.0,15.0,13.0,15.0,13.0,16.0,14.0,18.0,15.0
1.0,15.0,13.0,14.0,13.0,18.0,16.0,17.0,15.0,19.0,17.0,21.0,17.0
1.5,19.0,17.0,18.5,16.5,23.0,20.0,22.0,19.5,24.0,22.0,26.0,22.0
2.5,26.0,23.0,25.0,22.0,31.0,28.0,30.0,26.0,33.0,30.0,34.0,29.0
4.0,35.0,31.0,33.0,30.0,42.0,37.0,40.0,35.0,45.0,40.0,44.0,37.0
6.0,45.0,40.0,42.0,38.0,54.0,48.0,51.0,44.0,58.0,52.0,56.0,46.0
10.0,61.0,54.0,57.0,51.0,75.0,66.0,69.0,60.0,80.0,71.0,73.0,61.0
16.0,81.0,73.0,76.0,68.0,100.0,88.0,91.0,80.0,107.0,96.0,95.0,79.0
25.0,106.0,95.0,99.0,89.0,133.0,117.0,119.0,105.0,138.0,119.0,121.0,101.0
35.0,131.0,117.0,121.0,109.0,164.0,144.0,146.0,128.0,171.0,147.0,146.0,122.0
50.0,158.0,141.0,145.0,130.0,198.0,175.0,175.0,154.0,209.0,179.0,173.0,144.0
70.0,200.0,179.0,183.0,164.0,253.0,222.0,221.0,194.0,269.0,229.0,213.0,178.0
95.0,241.0,216.0,220.0,197.0,306.0,269.0,265.0,233.0,328.0,278.0,252.0,211.0
120.0,278.0,249.0,253.0,227.0,354.0,312.0,305.0,268.0,382.0,322.0,287.0,240.0
150.0,318.0,285.0,290.0,259.0,407.0,358.0,349.0,307.0,441.0,371.0,324.0,271.0
185.0,362.0,324.0,329.0,295.0,464.0,408.0,395.0,348.0,506.0,424.0,363.0,304.0
240.0,424.0,380.0,386.0,346.0,546.0,481.0,462.0,407.0,599.0,500.0,419.0,351.0
300.0,486.0,435.0,442.0,396.0,628.0,553.0,529.0,465.0,693.0,576.0,474.0,396.0
400.0,579.0,519.0,527.0,472.0,751.0,661.0,628.0,552.0,835.0,692.0,555.0,464.0
500.0,664.0,595.0,604.0,541.0,864.0,760.0,718.0,631.0,966.0,797.0,627.0,525.0
630.0,765.0,685.0,696.0,623.0,998.0,879.0,825.0,725.0,1122.0,923.0,711.0,596.0
800.0,885.0,792.0,805.0,721.0,1158.0,1020.0,952.0,837.0,1311.0,1074.0,811.0,679.0
1000.0,1014.0,908.0,923.0,826.0,1332.0,1173.0,1088.0,957.0,1515.0,1237.0,916.0,767.0
